iterations (N), time (ms), iterations/ms (ops/ms), hash
45, 4.9523809523809526, 9.086538461538462, 410f8dbc337031d4a54acb89854038bf7660838d
50, 5.555555555555555, 9, 2467dd6e3bc523715500941611b6ad82084e46e5
56, 6.8, 8.235294117647058, 2f27391f845c79ad945b7648cb03b79f982e2b3b
63, 7.857142857142857, 8.018181818181818, 736e0d39b39532560b8e11a802a5fb1521d14a1f
71, 8.23076923076923, 8.626168224299066, fc66ffcd57b37938f579eb200ae6ceee197be8fa
79, 10.4, 7.596153846153846, 42149853d339a7e760398f4c581c21549e319be6
89, 11.555555555555555, 7.701923076923077, 8c6817376d03945defff44c541e4076e03e0e9a7
100, 13.375, 7.4766355140186915, ce34f4992b0bfcdf6f3a9297341e9bd60871c98f
112, 16.833333333333332, 6.653465346534653, 2b55e278e74b3bf252f92b85fb8b3c708c482e43
126, 17.166666666666668, 7.339805825242719, 003e97b93a12d56b21486ccd5805632ea027ddde
141, 22.8, 6.184210526315789, 7de6f9f69bdf448edcd4d406335fcc5e4ed1ccad
158, 24.4, 6.475409836065574, dcc0419ed1ee9610539f4313530afb390f59ca84
178, 32, 5.5625, c4adb202462cd5c803076914977c131dcdbc6aad
200, 43.666666666666664, 4.580152671755725, 415e67d2058dc2effc36eef1827d0a941e407e20
224, 42.666666666666664, 5.25, 2530249103053a371a6c70c3eceb0b1d044b6927
251, 56, 4.482142857142857, 1e5f40d90e33412a2a36d690694171fbd1c0c0fb
282, 64, 4.40625, 8bc5ab1a028af1279d73d7321670ebaaeb1cb906
316, 80, 3.95, e84bf6345cba2b796593a690ac35be42a6d6126b
355, 95, 3.736842105263158, a0737051197d8130a9f63504acf3292a702252ad
398, 110, 3.618181818181818, 25eb004a347d3b84dd7a684302afa88dd2ebda6e
447, 149, 3, 6244950d4e04610de84a32bdf9d142892f089a4a
501, 175, 2.862857142857143, aa18ec6a7d149204d53ce723f60c1819b3a75c83
562, 213, 2.6384976525821595, 679e606d1d9655781c491ebf1dd50b93af9b704b
631, 269, 2.345724907063197, f4012f0c9cda1ed52dff13fb21267ef55d6e4370
708, 327, 2.165137614678899, dc0177eee87e272a26823c8b5920859f03b1fb7d
794, 402, 1.9751243781094527, 15affa46d1b0acfb4825a7d402a65de34e074079
891, 498, 1.7891566265060241, 9ff969ab140fb3b881c5574bbeb0dda5f0bf78a5
1000, 618, 1.6181229773462784, 3ce1d66380579b49cd94bfcd66d132269c972375
1122, 785, 1.4292993630573247, b23430a6109f713b12aefd8da86ebbdbaae3eba6
1259, 970, 1.297938144329897, 436b33952a2254eb7009b897fc7ef0a797899edd
1413, 1198, 1.179465776293823, 4a7e378079d16a70cf31e83d5effcf1caef74b8f
1585, 1513, 1.047587574355585, ffc067c405aae93f634628deaf8b91866df177e2
1778, 1850, 0.961081081081081, 9469151421801f5e77d8816a3d30af0f910862d1
1995, 2323, 0.8588032716315109, 13c0a88aa1027ea87cc29c3a6d16875cd5802bd5
2239, 2938, 0.7620830496936691, 90b1de6d700c70a6dcc87482adb3d0925b70fcb6
2512, 3725, 0.6743624161073826, acf857f64c2415f0809e8fba6f95dd1342c46346
2818, 4697, 0.5999574196295507, 4b97f1ef59785aa803954daf23bf222387766a7d
3162, 5912, 0.5348443843031123, 3a78d2e88993b94abe3f9a2a294e4d6e322d7b37
3548, 7553, 0.46974712034953, 27b45cdef3ee17856fe868084107fdd13f658d53
3981, 9651, 0.41249611439229095, 67d71bc79f5f7489ed7ca070967ebdac0b983b98
4467, 12390, 0.36053268765133173, 5fe212ea22fca330b727386fac79c77229898a35
5012, 15613, 0.3210145391660795, 3e6fdf02be2447344a187d520cb02904bd686702
5623, 20648, 0.27232661759008137, fa175a2b05b754c4ca21d48e1b1a31395e052cc8
6310, 26960, 0.23405044510385756, 39c55dd49b3413a2edb3c6f2e53cfd82e0bad788
7079, 35144, 0.2014284088322331, a34f8372511cebfe21c2b42512dce2e8e7a4b4e3
7943, 45733, 0.17368202392145715, 16cae11406c41b0856b795a161d8155138924403
8913, 59793, 0.14906427173749437, d37bbb2b3b0b2c92e2febe8b552989ea1db14164
10000, 80064, 0.12490007993605116, 8f9695dd323ed182159970aa1174981ce68c24d8
